Stationsnamn;Klimatnummer;Mäthöjd (meter över marken)
Stockholm;98210;2.0

Parameternamn;Beskrivning;Enhet
Nederbördsmängd;summa, 1 gång per månad;mm

Tidsperiod (fr.o.m);Tidsperiod (t.o.m);Höjd (meter över havet);Latitud (decimalgrader);Longitud (decimalgrader)
1786-02-01 00:00:00;2016-03-02 10:00:00;44.0;59.342;18.0575

Från Datum Tid (UTC);Till Datum Tid (UTC);Representativ månad;Nederbördsmängd;Kvalitet;;Tidsutsnitt:
1811-08-02 06:00:01;1811-09-01 06:00:00;1811-08;76.0;G
1811-09-01 06:00:01;1811-10-01 06:00:00;1811-09;50.0;G
1811-10-02 06:00:01;1811-11-01 06:00:00;1811-10;39.0;G
1811-11-01 06:00:01;1811-12-01 06:00:00;1811-11;35.0;G
1811-12-02 06:00:01;1812-01-01 06:00:00;1811-12;25.0;G
1812-01-02 06:00:01;1812-02-01 06:00:00;1812-01;12.0;G
1812-01-31 06:00:01;1812-03-01 06:00:00;1812-02;2.0;G
1812-03-02 06:00:01;1812-04-01 06:00:00;1812-03;4.0;G
1812-04-01 06:00:01;1812-05-01 06:00:00;1812-04;4.0;G
1812-05-02 06:00:01;1812-06-01 06:00:00;1812-05;18.0;G
1812-06-01 06:00:01;1812-07-01 06:00:00;1812-06;62.0;G
1812-07-02 06:00:01;1812-08-01 06:00:00;1812-07;69.0;G
1812-08-02 06:00:01;1812-09-01 06:00:00;1812-08;14.0;G
1812-09-01 06:00:01;1812-10-01 06:00:00;1812-09;32.0;G
1812-10-02 06:00:01;1812-11-01 06:00:00;1812-10;102.0;G
1812-11-01 06:00:01;1812-12-01 06:00:00;1812-11;9.0;G
1812-12-02 06:00:01;1813-01-01 06:00:00;1812-12;8.0;G
1813-01-02 06:00:01;1813-02-01 06:00:00;1813-01;9.0;G
1813-01-30 06:00:01;1813-03-01 06:00:00;1813-02;22.0;G
1813-03-02 06:00:01;1813-04-01 06:00:00;1813-03;6.0;G
1813-04-01 06:00:01;1813-05-01 06:00:00;1813-04;7.0;G
